 похожий на индейца с вырезанным  белыми языком, с достоинством нянчил загипсованную 
 термитами, причём ловит их длинным  липким языком, высовывая его из хоботка 
 Туман успел облизать меня огромным  липким языком, прежде чем я успел 
 нечистую воду, высовывая пупырчатые дурно- розовые языки, пялились непросвещенными зрачками из-под 
 искрами и показывал им длинные  красные языки. 
 Сухой язык лежал во рту шерстяным 
 Острые языки жалил нос и руки 
 требовалось как следует отдышаться, вывалив  розовый язык. 
 невидимая собака лениво вычерпывает шершавым,  сухим языком воду из фаянсовой миски 
 навыкате, рот открыт, губы синие,  сухой язык распух. 
 ухмылкой разглядывала в зеркале свой  черный язык. 
 бы карлику Блока примоститься с  огненным языком на полнеба. 
 растянутым ртом не исключен и  красный язык, что может развернуться на 
 своими ладонями, от движений ее  твердого языка, осторожного прикосновения острых и 
 вложил треклятый шарик под сухой  холодный язык. 
 На террасу, вывалив набок длинный  розовый язык, вылетел Снап, покрытый от 
 раскрытой пасти судорожно подергивался совершенно  синий язык. 
 я, изображая удовольствие (по мягкости  львиный язык можно смело сравнить с 
 Фирма производит и деликатесную продукцию:  свиной язык, отварные языки в желе 
 рынке мясных консервов следующими видами:  свиной язык в желе, холодец свиной 
 успевает показать в заднее стекло  розовый язык. 
 и она жадно подхватывала ее  черным языком. 
 морда, и хвост и весёлый  красный язык. 
 роструп ― нос, вставляли катетер под  красный язык и вливали раствор тазепама 
 тело, ласковый рот его с  упругим языком приник к средоточию женской 
 провел языком по губам. Губы  сухие язык тоже. ― Однажды в студеную 
 кожи, и деликатесные консервы из  оленьих языков. 
 а кончик ее раздваиваться наподобие  змеиного языка. 
 любую секунду отстрелить своим длинным  липким языком первую проснувшуюся мушку. 
 Машенька и показала доктору кончик  розового языка. 
 притаившийся в горах динозавр. Раздвоенным  красным языком быстро лизнул селенье. И 
 разрез, почти отделивший голову, с  липким языком крови. 
 заталкивая в них копчености, балык,  холодный язык, осетрину в холодце с 
 шею, можно двигать толстым, розово- красным языком. 
 полоснули по горлу бедняги, длиннющий  сизый язык вылизывал обнажившееся из-под драного 
 жесткие мужские губы, кисловатый вкус  упругого языка, легкий стук зубов о 
 Собака высунула длинный  розовый язык, с которого на пол 
 рыло, из которого вниз потянулся  тонкий язык. 
 Лицо у него было синее.  Чёрный язык поленом торчал из бороды 
 разбудит младенца, закусил до крови  соленый язык, чтобы боль помогла помнить 
 Из оскалившегося рта высунулся  фиолетовый язык: глаза широко раскрылись, почти 
 пускали розовые слюнные пузыри, вываливались  синие языки… 
 на меня посмотрев, высунула маленький  красный язык. 
 красным клювом и пожевывал, показывая  черный "язык и два огромных гладиатора "
 будет лежать, свернувшись баранкой, лицо  черно-синее язык далеко торчит изо рта 
 дразнилась: корчила рожи и высовывала  желтый язык. 
 нем ― было видно ― дрожал почему-то  желтый язык. 
 врачу приходит пациент с полностью  черным языком. 
 рот и покажите себе язык!  Белый язык исключает анемию. Желтого цвета 
 Если на  красном языке есть маленькие выточенные углубления 
 При глубоком поражении почек на  белом языке видны черные пятна. 
  Сухой язык, покрытый трещинами, указывает на 
 язвенные процессы в кишечнике указывает  сухой язык, основание которого словно обложено 
  Красный язык торопливо облизал капли на 
 ― Это из  перепелиных языков, ― сообщил Ислом-ака, брезгливо 
 будет повод съесть манты из  перепелиных языков!.. 
 ― И манты из  перепелиных языков, ― закончил повар. 
 ― Ну, размечтался! ― Из  перепелиных языков? Ц-ц-ц-ц 
 едал я однажды манты из  перепелиных языков… вы человек опытный, как 
 важное высказывание на фоне общего  птичьего языка сегодняшней литературы и литературоведения 
 Нина, есть высшее образование и  острый язык. 
 Потом лёг на кровать,  сунул под язык таблетку валидола ― сердце 
 Поморщившись, Иван Филиппович  кинул под язык таблетку валидола и 
 перед ним возникали то мужчина,  забросивший под язык порцию насвая и 
 Я  положила под язык таблетку «от сердца 
 Папиков  заложил под язык очередную порцию табака 
 Все продумано: на могиле она  высыплет под язык всю упаковку нитроглицерина 
 на ладонь несколько крупинок, одну  положила под язык, остальные ― обратно в 
 (Она случайно  зашепелявила под язык попалась одна из 
  Фукнул под язык нитроглицерином-аэрозолем и 
 Каждое слово  округлялось под языком, как мокрый снежок 
 Привычным движением Неня  положил под язык таблетку валидола, который 
 сильном ушибе или переломе нужно  положить под язык всего одну крупинку 
 поту, с таблеткой валидола, тайно  сунутой под язык. 
 разжевать таблетку валидола: «Разжуй и  засунь под язык ― быстрее рассосется». 
 чтобы взять в аптечке и  положить под язык крупинку нитроглицерина. 
 укол уже не помогал, ей  клали под язык сахар, и она 
 нее начинает колотиться сердце. Она  кладет под язык валидол. Таблетки огромные 
 ящик, протянул женщине пузырек. Она  сунула под язык таблетку. ― Этих чертовых 
  Положили под язык, и действие было 
 по-верблюжьи двигать челюстью, укладывая  насвой под язык. 
 Ох, горе вы мое! На,  положи под язык. (Достает ему валидол 
 Свинина  положила под язык таблетку валидола и 
 быстро обхватила ее, расстегнула пальто,  сунула под язык валидол, и Деби 
 убирая квартиру, дожидаясь в приемной,  кладя под язык валидол, подтирая ребенку 
 вместо чая, но чаще просто  отправляют под язык. 
 а затем устойчивую ненависть, котора  засела под языком, как холодный, острый 
 – Ее не нужно запивать.  Положите под язык, она моментально растворится 
 Но киснет,  растворяется под языком таблетка, сейчас разойдется 
 торчала труба, уходившая в дыру,  проделанную под языком, а челюсти попрежнему 
 Через полторы минуты,  сунув под язык таблетку валидола, он 
 Затем аккуратно развернул конфетку,  положил под язык и зачмокал радостно 
 Хорошенькое слово вовремя  возникает под языком, предложения вяжутся изящно 
 горло, растирал мякиш по небу,  держал под языком. 
 при судостроительном заводе посасывал уже  истончившуюся под языком таблетку валидола, вывалив 
 не бойтесь… Только не глотайте.  Положите под язык… Тихон Тихонович послушно 
 Тихон Тихонович послушно  положил под язык цистинал. 
  Положив под язык крупинку нитроглицерина, я 
 взял кусочек сахара, накапал валидола,  положил под язык, стало немного спокойнее 
 до самого локтя, Иона Овсеич  взял под язык еще кусочек сахара 
 валидола и протягивает ему одну. ―  Положи под язык, ― велит он. ― И 
 Достаточно  положить под язык щепотку насвая, и 
 поднес руку ко рту и  положил под язык таблетку. 
 пошла Мишу к калитке проводить,  положив под язык валидола таблетку, я 
 ― Совесть! ― Возьми валидол и  положи под язык! ― Валентин Петрович достал 
 халат, стянул ночную рубашку и  сунул под язык болеутолитель. 
 перед каждой переменой вин украдкой  клал под язык таблетку каспарамида. 
 ударами перочинного ножа и убеждала  держать под языком. 
 Первые две пары желез (они  лежат под языком, внизу рта) доставляют 
 Протоки их в полости рта  открываются под языком. 
 прогулку, он закашлял и вдруг  почувствовал под языком тяжелый предмет. 
 как более добросовестный, даже присел,  подглядывая под язык Джильды с изнанки 
 него тихо звонило, опущенные руки  тяжелели под языком становилось солоно, он 
хочу говоритязыкпроколоть и всё
я тоже против всяких проколотыхязыковгуб пупков
 вечно озабоченную и невыспавшуюся особу ―  язык не поворачивается. 
 У меня тоже  язык "не поворачивался сказать ему ""ты "
 И потом, у меня уже  язык не ворочается. 
 заставлял открывать рот и показывать  язык не мял живот, но долго 
 Таня хотела что-то возразить, но  язык не повернулся, потому что всё 
 Такое, как говорят русские, просто  язык не повернётся сказать. 
 Бенкендорф брился, слушал, но  языком не цокал. 
 не сделала, у меня, понимаете,  язык не поворачивается. 
 Глебов мучился, колебался,  язык не двигался, смелости не хватало 
  Язык не заплетается, вот в мыслях 
 голод забыли, а у самой  язык не ворочается, она их на 
 Говорить-то с утра  язык не ворочается, каждый в мысли 
 Ему трудно было говорить,  язык не поворачивался, ― так отвык он 
 А Томка визжит и  язык не высовывает. 
 затем что Семён Иванович и  языком не ворочал, а как будто 
 телом, что-то силился сделать руками,  языком не шевелил, но моргал глазами 
 Да, чёрт возьми, как-то  язык не поворотился, и я сказал 
 Это две небольшие комнаты, которые  язык не повернется назвать залом. 
 эту страну цивилизованной у меня  язык не поворачивается. 
 области, занимаемся экоцидом, ― у них  язык не поворачивается. 
 Давно хотела спросить, да все  язык не поворачивался. 
 рублей), назвать который капитальным строением  язык не поворачивается. 
 он не мог так сказать.  Язык не поворачивался. Тихий оглянулся ― никого 
 О Маше  язык не поворачивался говорить, он тужился 
 приоткрыв рот и высунув красный  язык не обращает на меня никакого 
 масштабным новаторством, как фундаментальная наука,  язык не поворачивается сказать, что новатор 
 Хороший парень этот Серый, и  языком не мелет почем зря. 
 Сказал бы я тебе, да  язык не поворачивается. 
 или там лепленного-сколоченного-резаного ( язык не поворачивается называть эти изделия 
 дней табличка (назвать которую бейджем  язык не поворачивался, бармена бы переварить 
 войны они тут такое творили ―  язык не поворачивается рассказывать… 
 те же страхи, у меня  язык не повернулся ей такое сказать 
 Поэтому не стоит.  Язык не западет. Ибо…. все мышцы 
 хотя назвать их чистой фантазией  язык не повернется. 
 горячо ворочалась во рту, и  язык не слушался. 
 Это две небольшие комнаты, которые  язык не повернется назвать «залом». 
 Крыма и горами-то назвать  язык не повернётся. 
 поневоле», но назвать ее так  язык не повернется. 
 Если за четверть века русский  язык не принял название «системология», значит 
 флангах бестолково бегали резвые янки ―  язык не поворачивался, но тренировки и 
 сказать «надо», а у Александры  язык не поворачивался. 
 назвать которых инкубами и суккубами  язык не поворачивается, потому что вреда 
 ВАЛЛ-И» назвать детским мультиком  язык не поворачивается). 
 При этом трезв как стеклышко,  язык не заплетается, и сам не 
 повернута к небу, рот закрыт,  язык не вываливается. 
 большой престижный дом, жильцов которого  язык не поворачивается назвать этим совковым 
 Раньше бы  язык не повернулся, но так теперь 
 Как же у нее  язык не устает, просто удивительно! 
 говорить нужно! Как у них  язык не отваливается? Со мной тоже 
 тушь для ресниц ― у меня  язык не поворачивался. 
 То есть, постарайтесь, чтобы  язык не лежал на губе, а 
 Мой  язык не поворачивается произнести слово «оргазм 
 Мне трудно говорить высокие слова.  Язык не поворачивается… ― У меня тоже 
 Аграновского (до сих пор мой  язык не научится произносить: вдова), призналась 
 отмахнулась она своим жестом безнадежности, ―  язык не повернется… 
 к преподаванию истории у меня  язык не повернётся. 
 палку в зубы дать, чтобы  язык не прикусил. 
 машина, но минивэном её назвать  язык не поворачивается. 
 только нижняя челюсть опущена и  язык не касается верхних зубов 
  Язык не ворочался, перед глазами плавали 
 накручивал себя, занимался самовнушением, пока  язык не опух, всё твердил хриплым 
 Но у меня  язык не поворачивался назвать Северина эксцентриком 
 в ДК назвать денсом даже  язык не поворачивается. 
 ― Не могу, ваше величество,  язык не поворачивается. 
 в это время назвать мягким  язык не поворачивается. 
 начале 2000-х годов демократическим,  язык не поворачивается. 
 бедный Марокко злой сирокко (как-то  язык не поворачивается обозначать в среднем 
 Вся эта нынешняя срань ―  язык не повернется… И я решил 
 вопросами, вытягивать подробности, не цокал  языком не качал головой. 
 же видели, я ее чуть  языком не облизал, уж и осмотр 
 сказать, что игра плоха как-то  язык не поворачивается. 
 будешь на вершине счастья, как-то  язык не поворачивается (партнер или груб 
 Назвать этот диск тормозным  язык не поворачивается. 
 Я мялась,  язык не поворачивался сказать, что все 
 А что говорить, когда  язык не поворачивается? 
 такое был Сталин, сейчас просто  язык не поворачивается посоветовать что-нибудь в 
 псих, а назвать Поклепа нормальным  язык не поворачивается. 
 ибуки») «Мазду» элегантной или обаятельной  язык не поворачивается. 
 выявлял, но назвать его полуфиналом  язык не поворачивается. 
 мне приятно, я почему-то стесняюсь.  Язык не поворачивается сказать. А в 
 помещения бесцветным словом «санузлы» просто  язык не поворачивается). 
 Никогда теперь с  языка не срывалось словцо, которое прежде 
 способен, безразлично, по умственным или,  язык не поворачивается сказать, нравственным причинам 
 не сможет, ― наверное, потому, что « язык не повернется». 
 непривычно, что данная игра (мероприятием  язык не поворачивается назвать) меньше всего 
 которых то и «МУЖЧИНАМИ» назвать  язык не поворачивается. 
 на самом деле у меня  язык не поворачиваецца сказать ― слушай, отвалил 
 У меня даже  язык не поворачивается назвать ее в 
 Хотя  язык не поворачивается назвать его нашим 
 позвать на дне рождения, но  язык не повернулся. 
 в такую же смертную карусель.  Язык не поворачивается спросить с них 
 Взяткой назвать эту сумму  язык "не поворачивается все-таки никто из "
 с лишним лет, увлеченным рассказчиком ―  язык не поворачивается сказать лектором. 
 Но назвать это реализмом  язык не поворачивается: такое ощущение, что 
 Есть масса пьес, которые  язык не поворачивается назвать драмой. 
 без веры» журналистов и политиков  язык не поворачивается произнести слово «русские 
  Язык не повернется сказать что-то безнадежно 
 Да и как их назовешь?  Язык не повернется. Все комментарии сводятся 
 его прямым и откровенным как-то  язык не поворачивается. 
 фракция (партией назвать ее как-то  язык не поворачивается) завалила в Госдуме 
 Хотя  язык не поворачивается сказать «сыграл роль 
 началу двенадцатого в дом возвращалась ―  язык не поворачивается сказать «домой» ― заставала 
 не поспешил, спинку прямо держал,  язык не прикусил, к носу не 
 Утром у ей рот набок,  язык не пролазит. 
 уши не резало, и вам  язык не щекотало. 
 ведь они и скажут, и  язык не отсохнет цифры называть, цифры 
 уже и в постели (как  язык не отсох? 
 передаваемых по сети нервов организма)  языками не являются. 
 У Ирины высох рот,  язык стал шерстяной. 
 поддел картофельную долечку, положил на  язык сжал зубами ― она захрустела. 
 поднимал голову и, еле ворочая  языком повторял, что ему в Электросталь 
 губа приникла к деревянному стеблю,  язык тронул пластмассовую трость. 
 " У коровки молоко на  языке повторял он. 
  Язык собирал шелуху, высовывался наружу, губы 
 Без хозяина не пустят!" ― заплетающимся  языком объяснил служивый и неимоверно грязным 
 гетинакса, к сладенькому ― это даже  язык ощущал ― разложению вываленного на землю 
 такая обезоруживающая, лишний раз спросить ―  язык отнимался. 
 бессилие, тряпичные руки и ноги,  язык лежавший во рту, не чуя 
 повисло над лесом Волк высунул  язык слизнул самое прохладное облако и 
 Ослик! ― нацарапал Ёжик и кончиком  языка потрогал кончик носа. 
 Против кого ты, сволочь,  язык высунул, против кого пошёл? 
 найдётся где переночевать? ― еле ворочая  языком спросил я. 
 секунд постоял на крыльце, щелкнул  языком затопал вниз и медленно пошёл 
 Возможно, не успевал, возможно,  язык отнимался от страха. 
 Отвечай! Что, у тебя  язык отсох? Он человек, близкий к 
 с хлеба сахар губами забрал,  языком подлизнул, одной ногой на кронштейник 
 Потом он пожевал.  Язык окаменел, и губы занемели. Он 
 Один медвежонок даже  язык высунул от такого удовольствия. 
 " А он только  языком "почмокал: ""Эх, барина, как мине "
 мопсов, у которых всегда кончик  языка был высунут наружу и прикушен 
 Хотя бы поморщился! высунул свой  язык повесил огромные уши и глядит 
 глаза его то окончали, что  язык начал. 
 Показывает на  распухший язык, и я понимаю, что 
 Видишь? Он  высунул язык. А рядом с ним 
 под нашими окнами. Корчили рожи,  показывали языки. Когда учишься в выпускном 
 не заставлял открывать рот и  показывать язык, не мял живот, но 
 спросить: "А сыр? " Но вовремя  прикусил язык. Что скажешь? 
 на него, и Евгений Николаевич  прикусил язык. 
 лучше не чешите зубы, а  держите язык за зубами (не болтайте 
 Хуже всего был строжайший приказ  держать язык за зубами, даже и 
 выражений или о том, чтобы  держать язык короче. 
 хочет идти в аптеку. ― Алексей,  убери язык! Заря упала за высокие 
 трудились народные столяры по мясу,  вырезая языки и забивая гвозди в 
 солнышко повисло над лесом Волк  высунул язык, слизнул самое прохладное облако 
 очень был голоден, ― прошептал Волк,  высунул язык и полизал небо. 
 тебе и говорю, ― сказал Медвежонок, ―  убери язык и прекрати так жарко 
 них выворачивались, откупались обещаниями, просто  показывали язык и убегали. 
 этот Дон Кихот смеялся он  высовывал язык и дразнил. 
 ей тихо и вразумительно: «Зина,  держи язык за зубами! 
 Я очень прошу,  держи язык за зубами». 
 с особенным нажимом, ещё более  ломая язык: 
 когда кинофестиваль, бегают по Москве  высунув язык и меня тащат… 
  Высунув язык, пёс этот облизывал моё 
 Тузик прилёг под верстаком, лениво  вывалив язык. 
 Волк, насмешливо улыбаясь,  вывалив язык, скакал прямо вон из 
 было так смешно, что я  прикусил язык, чтобы не расхохотаться. 
 Ганка хлебнул,  обжёг язык и замотал головой. 
 на Костю Малинина, что тот  прикусил язык. 
 рот и скажите: а-а-а. И  высуньте язык. Хотел язык посмотреть. 
 И  высуньте язык. Хотел язык посмотреть. А 
 глазами увидел он свой собственный  высунутый язык и безжизненную голову, упавшую 
 сморила жара, и они легли,  высунув языки, тяжело дыша и не 
 Прокуратор сел в кресло, Банга,  высунув язык и часто дыша, улёгся 
 немцах, которым киргизы на Карамане  вырезали языки. 
 Ивановне та же безумная мысль  высовывает язык и мечется. 
 своё сконфуженное лицо и, медлительно  высунув язык, с горькой насмешкой покачал 
 сделан закон, по которому лжецам  прокалывают язык горячим железом. 
 ответственные времена людям делали в  языке дырку особенным раскалённым гвоздём. 
 а также вкусовые сосочки на  языке переставшие выполнять свои функции из-за 
 чувствовал, что те места на  языке и горле, которые удавалось увлажнить 
 что выросты у него на  языке напоминают тёрку. 
 моим детским врачом, а на  языке у меня на всю жизнь 
 гримасы на лице и без  языка который непременно вываливается у удавленников 
 аф!", зубов и красного молодого  языка сучки, он совершил ошибку, побежал 
 и на секунду верно лишился  языка Да он же женатый человек 
 почти не двигаются на корне  языка и гортани появляются мелкие некротические 
 молчишь?! ― повернулась она к отцу. ―  Языка у тебя нет? Отец попробовал 
 прививают больным рак челюсти и  языка 
 из челюстей, не из прикушенного  языка как в Ахтубе… 
 спросил Гарднер и провёл кончиком  языка по губам. 
 и Лаэрту-фехтовальщику, кончику красного  языка который так легко и быстро 
 не сойдёт у Гамлета с  языка но именно она-то должна 
 несчастной матери, которую паралич лишил  языка  
 машинку 1/ 2 ф. варёной ветчины или  языка нарезать тоненькими ломтиками, затем изжарить 
 без ноги и почти без  языка сожалел он, что я имею 
 Соломонович, да Лазарь Соломонович… Охота  язык ломать? Зовите просто― ваше превосходительство 
 Видишь? Он высунул  язык  А рядом с ним ― Славка 
 в такой тишине. Как будто  языки "проглотили. Я сказал: ""Пусть едет "
 Язык мигом от страха прикусил и 
 я теперя?.. ― Типун тебе на  язык возмутилась женщина. ― Разорвало бы ему 
 нарезали тонкими ломтиками, клали на  язык и причмокивали. 
 он умолк, словно у него  язык вырвали, и так выразительно, наверное 
 Андрей Николаевич мысленно прикусил себе  язык и приказал мозгу потерять способность 
 при передозировке возможны галлюцинации. Под  язык на ваших глазах. Где галлюцинации 
 дергал и дергал его за  язык 
 королевич совсем по-ребячьи показал ему  язык после чего они― королевич и 
 Дошёл.  Язык сломать можно. Поняла хоть? 
 захворают дорогой? ― Чирий тебе на  язык  ― В сумку, чтоб сухари не 
 бегом, а он мне вслед  язык показывает. 
 Слабый привкус иода ложился на  язык  Он вполне здоров, но что-то 
 Волк, насмешливо улыбаясь, вывалив  язык скакал прямо вон из картины 
 Против кого ты, сволочь,  язык высунул, против кого пошёл? 
 Надувает щёки и показывает мне  язык  Сзади подходит санитарка, а она 
 веронал за щёку или под  язык и после ухода фельдшера выплюнуть 
 героя древности и откусит себе  язык 
 Фетинья, понятно,  язык прикусила, а сама думает: не 
 тридцать немцев и вырезали им  языки а немцы, излавливая конокрадов-киргизов 
 сведённых судорогою пальцах Гейне: точно  язык высовывает он своей мексиканско-зверской пытке 
 та же безумная мысль высовывает  язык и мечется. 
 нельзя ― того и гляди, что  язык проглотишь, а он, по лесам 
 на верх, я показал ему  язык и сказал, что не пойду 
 вряд ли у кого-то повернётся  язык называть этих людей эмигрантами. 
 до этого мне казалось, что  язык навеки прилип к гортани. 
 зажмурился и высунул сладкий инжирный  язык 
 назвать его живым не поворачивался  язык это было лицо человека, спящего 
 скажите мне, пожалуйста (у самого  язык заплетается от растерянности, не знает 
 тяжёлое потрясение, что ей отказал  язык племянница Вера в отчаянье и 
 с ругнёй: "Замолчи… Прикуси длинный  язык " "" Здесь― книг полная комната, всё "
 кошка лижет вам руку, её  язык кажется чуть шершавым. 
 Язык мой не отсыхал, молнии не 
 говяжьи сосиски, консервы, икра, мармелад,  языки дефицитная рыба. 
 бессилие, тряпичные руки и ноги,  язык лежавший во рту, не чуя 
 он, выкрикивал внутри себя, но  язык и губы не слушались, звуки 
 Голова тревожно подымалась, и  язык "на ране застывал"". "
 Слова, конечно, подготовлены  язык конечно, не поворачивается. 
 ― У коровы длинный  язык а разговаривать она не умеет 
 мной разговариваешь! Как у тебя  язык повернулся? Я три часа твой 
 у кого не повернулся бы  язык произнести это слово, значение которого 
 как у тебя, у дуры,  язык "повернулся?"" Мать расплакалась. "
 Легко сказать.  Язык то не поворачивается. Это не 
 рукопожатие, хотя глаза слезились, а  язык ворочался через силу. 
 Попроси прощения! ― строго велела Нюра. ―  Язык то не отсохнет. ― Та-а… 
 ― Трепался, наверно? . Гадский  язык обязательно натрепаться! Ненавижу себя за 
 этом сейчас? Как у тебя  язык поворачивается? Вот что меня изумляет 
 как там сегодня ― не пошевеливался  язык 
 Затвор лежал отдельно, как вырванный  язык  Я вложил затвор на место 
 слушает и понимает, а то  язык у него больно длинен стал 
 брюхом голодным, на день целый.  Язык отнимается. Говорить друг с другом 
 Палец, корка хлеба и  язык очищали дно котелка или миски 
 боится болезней: щупает себя, высовывает  язык и, скосив глаза, смотрит, не 
 Он глотнул воздух,  язык и небо пересохли. 
 Потом он пожевал.  Язык окаменел, и губы занемели. Он 
 утру уже кругом гудят красные  языки шип, свист, треск, вой, пол 
 Какая Катя? ― спросил Хижняков. И  язык у него ворочался тяжело и 
 Кабанов . Да отсохни  язык  Кабанова . 
 чёрт возьми, никак не слушается  язык скажешь только, холодно или тепло 
 в стройном философском здании ― тщетно:  язык его лепетал слова, но мысли 
 Ильинична сидела как на иголках  язык у неё так и свербел 
 Эрасте ― готов проклинать его ― но  язык мой не движется ― смотрю на 
 как при чтении каждой строки  язык его немеет и по всем 
 и весь сделался я неподвижен,  язык мой онемел и все окаменели 
придёт Абдулла он тебе вырвет язык
чего молчишь язык берегу
кто за язык тянет
никто её не тянет за язык
пятнадцать лет прошло как корова языком слизнула
почему-то так и не рассосавшийся на ее языке, обозначил позавчерашний вкус
Ходили они вокруг станков и восхищенно прищелкивали языками
Язык, выполняющий в организме нации в том числе и функцию печени
ветчина, бекон, карбонад, сосиски- малютки, печеночный паштет, телячий язык.
Быстро тает вечер летний точно мед под языком
От песочного, слоеного труда ядовитая слюна под языком
Жвачка катается на языке, тянется сладко
Однодумом живет растерянным: клонится деревом, плавится языком
где еле языком ворочая скативши глазоньки в кулек
ее какие звери окружили какие облизали языки
но выпрямился как стекло язык прижатый к альвеолам
Я тоже облизывал миску своим языком (Конечно, своим, не собачьим же и не кошачьим
Ты зажат, как вороний язык, вездесущим, всезнающим клювом
тупая тоска заставит щелкать языком, на медленном огне перекипая
Певцов поймали, прикололи, Осталось жарить языки.
Горячим и шершавым языком
Языки, словно змеи, ласкались В глубине двуединого рта
пес лицо мне лапал И губы языком лизал
Как содрогается в восторге язык, зажатый меж зубов
не жалей о железах тюрьмы, где язык примерзает шершавый к раскалённой решётке зимы
Щипцы вырывают язык, он дымится на мокром помосте
И заново язык не отрастет
В утреннем тумане, высунув язык, Бык воспоминаний, крутолобый бык
Но будь язык медовым ― не иначе
Коль не вырвешь ты из горла мой язык, Значит, можно не молчать перед Судом
Когда домашняя кошка лижет вам руку, ее язык кажется чуть шершавым.
потому что выросты у него на языке напоминают тёрку
Улыбка у него была такая обезоруживающая, лишний раз спросить ― язык отнимался
Дошёл. Язык сломать можно. Поняла хоть
бережно и жадно прижимая языком к нёбу каждую ягоду
Ай-ай-ай! ― сержант пощелкал языком. ― У него и взгляд-то волчий
Ему трудно было говорить, язык не поворачивался
Да отрежут лгуну его гнусный язык!
Трезор с высунутым языком и окровавленной мордой выскочил
А он только языком почмокал
Языком лепечу слова, а на уме совсем не то
того и гляди, что язык проглотишь
с длинными железными когтями идолгим огненным языком
я показал ему язык и сказал, что не пойдуотсюда
Семен Иванович и языком не ворочал, а как будто судорогой его какой дергал
что-то силился сделать руками, языком не шевелил, но моргал глазами
До писен ли до гулянке ― язык на губе виснет. 
Быки языки павываливають, а ты лятиш на энтих быках
она всё, вытянется и вот язык вывалить, всё, готов
Пока вынесешь, так язык вывалишь
и далеко не вынесу, язык вываливаю
Намертво сжат челюстями чугунный язык
Бросьте Лизать помои языком
Был я поэт, бедняк, Бился, язык высуня, Ценнее ценных бумаг
страшный смак ее поныне На языке и на губах
когда язык ломает кости, а не перемывает их
И вялым языком беззубый рот жует картошку
Лижется воздух, влажный и липкий, тычется в губы язык тяжело
прибыв на места умиранья, опять шевелю языком
Шершавым языком сквозняк долизывает камни
И для кого горчинка смеха оттаяла на языке
И поздно признаньями вывихивать язык
мальчишек, лижущих белоснежное мороженое синими от холода языками
Коровы всегда это место вытирали своим языком
мой стих ворочая во мне, как перекусанный язык
От которых ломит зубы И язык стоит колом
Не человек, а череп века, Его чело, язык и медь
Не человек, а череп века, Его чело, язык и медь
В горле тошнотворный шарик, Смерти вкус на языке, Электрический фонарик, Как звезда, горит в руке
Но взгляд один ― и воскресает мертвый, И оживает скованный язык
И новый вырастет язык, и новый рев, и новый рык.
Лизнет языком колбасного цвета Ваши бледные с горя щеки.
Обледенелым языком Толку его во рту упрямо
День, когда к топору примерзает язык
Он замораживал на языке Слова, которые слететь хотели
И прикусил себе язык, Сказав, что к этому привык
Даже вы, бывало, раз нужно, Прикусив язык, не дыша
То у меня язык не повернется Его за нерасчетливость винить
Еле вымолвил косневшим языком
Оскалив клык, Тут высунула им Язык
Покамест не «прильпе Язык к гортани»
